epoch,train_loss,val_loss,val_oa,val_miou,val_dice,val_precision,val_recall
205,0.2385,1.5864,0.5697,0.2668,0.3773,0.4063,0.3948
206,0.2455,1.4429,0.6100,0.2985,0.4050,0.4385,0.4080
207,0.2532,2.0099,0.4853,0.2291,0.3285,0.3858,0.3424
208,0.2610,1.6468,0.5589,0.2922,0.4040,0.4591,0.4081
209,0.2502,1.8076,0.5206,0.2574,0.3697,0.4026,0.3882
210,0.2209,1.7636,0.5324,0.2450,0.3420,0.3918,0.3536
211,0.2334,1.8288,0.5029,0.2332,0.3349,0.3954,0.3510
212,0.2099,1.3726,0.6061,0.2873,0.3961,0.4140,0.4066
213,0.2463,1.4613,0.5786,0.2901,0.3930,0.4454,0.3924
214,0.2126,1.4873,0.5747,0.2864,0.3944,0.4150,0.4032
215,0.2185,1.6820,0.5727,0.2727,0.3709,0.4198,0.3750
216,0.2115,1.7416,0.5196,0.2554,0.3646,0.3940,0.3882
217,0.1996,1.4573,0.5845,0.2995,0.4092,0.4203,0.4203
218,0.2139,1.7140,0.5246,0.2594,0.3587,0.3864,0.3705
219,0.2144,1.6773,0.5599,0.2908,0.3993,0.4331,0.4100
220,0.1953,1.8310,0.5206,0.2568,0.3589,0.4229,0.3609
221,0.2158,1.7799,0.5354,0.2481,0.3489,0.3915,0.3579
222,0.1917,1.5120,0.5697,0.2827,0.3935,0.4359,0.3989
223,0.2106,1.6983,0.5295,0.2754,0.3869,0.4211,0.4000
224,0.1913,1.5971,0.5589,0.2734,0.3816,0.4101,0.3938
225,0.1732,1.9028,0.4990,0.2352,0.3356,0.3878,0.3509
226,0.1921,1.6130,0.5501,0.2885,0.4009,0.4438,0.4034
227,0.1870,1.5866,0.5629,0.2825,0.3916,0.4064,0.4097
228,0.1789,1.9162,0.5039,0.2485,0.3462,0.3928,0.3629
229,0.1786,1.7643,0.5275,0.2575,0.3643,0.4107,0.3784
230,0.1925,2.0831,0.4735,0.2444,0.3532,0.3945,0.3770
231,0.1995,1.3864,0.6179,0.2938,0.3964,0.4200,0.3983
232,0.1964,1.7334,0.5688,0.2750,0.3849,0.4242,0.3993
233,0.1661,1.9003,0.5079,0.2559,0.3654,0.4030,0.3829
234,0.1782,1.6728,0.5599,0.2832,0.3919,0.4276,0.4014
235,0.1564,1.5239,0.5874,0.2843,0.3927,0.4102,0.4060
236,0.1736,1.9659,0.5059,0.2455,0.3450,0.4125,0.3552
237,0.1590,1.6790,0.5668,0.2639,0.3714,0.4321,0.3785
238,0.1714,1.6758,0.5648,0.2609,0.3630,0.4003,0.3718
239,0.1836,1.7067,0.5403,0.2774,0.3890,0.4119,0.4079
240,0.1679,1.6365,0.5599,0.2710,0.3792,0.4265,0.3952
241,0.1641,1.7084,0.5491,0.2641,0.3635,0.4146,0.3706
242,0.1744,1.8243,0.5196,0.2655,0.3792,0.4174,0.4048
243,0.1484,1.9145,0.5069,0.2368,0.3386,0.3884,0.3660
244,0.1851,1.4638,0.5796,0.2699,0.3785,0.4076,0.3946
245,0.2421,2.1029,0.4951,0.2401,0.3392,0.3791,0.3602
246,0.2294,2.4530,0.4175,0.2116,0.3041,0.4169,0.3172
247,0.1802,1.9004,0.5206,0.2411,0.3445,0.4226,0.3605
248,0.1521,1.9881,0.4990,0.2458,0.3542,0.4024,0.3784
249,0.1424,1.3197,0.6316,0.3293,0.4410,0.4732,0.4425
250,0.1551,1.8903,0.5373,0.2594,0.3662,0.4418,0.3883
251,0.1196,1.3723,0.6385,0.3212,0.4277,0.4649,0.4258
252,0.1404,1.3442,0.6395,0.3286,0.4401,0.5428,0.4350
253,0.1574,1.5455,0.6012,0.2898,0.3950,0.4544,0.4101
254,0.1302,1.4979,0.6012,0.2886,0.4061,0.4327,0.4331
255,0.1312,1.8174,0.5521,0.2585,0.3678,0.3969,0.3923
256,0.1524,2.1025,0.4961,0.2619,0.3711,0.4454,0.3817
257,0.1291,1.5128,0.5972,0.2997,0.4119,0.4530,0.4192
258,0.1474,1.6367,0.5874,0.2890,0.3969,0.4320,0.4050
259,0.1504,1.5900,0.5776,0.2959,0.4105,0.4397,0.4234
260,0.1411,1.8534,0.5668,0.2788,0.3773,0.4372,0.3814
261,0.1536,1.5086,0.6248,0.3041,0.4050,0.4464,0.4126
262,0.1282,1.3058,0.6493,0.3237,0.4395,0.4785,0.4435
263,0.1239,1.5418,0.6159,0.3063,0.4105,0.4540,0.4101
264,0.1249,1.4590,0.6336,0.3248,0.4307,0.4733,0.4288
265,0.1088,1.4872,0.6326,0.3082,0.4177,0.4646,0.4207
